"source","target","dst_port","weight","type","time","diff"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202802","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202802","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1072","graph_edge","1771677202802","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202802","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202802","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202802","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202802","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202802","1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202940","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202940","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202940","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202940","-1"
"2001:4860:4802:38::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60268","60268","1600","graph_edge","1771677202940","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677203832","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677203832","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677203832","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677203832","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677203832","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677204504","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677204504","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677204504","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677204504","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:832::200e:60434","60434","78","graph_edge","1771677204504","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677204504","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677204504","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677204504","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677204504","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677204504","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677205332","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677205332","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677205332","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677205332","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:443","443","152","graph_edge","1771677205332","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677205332","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677205332","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677205332","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677205332","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677205332","1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677206028","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677206028","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677206028","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677206028","-1"
"2401:4900:88cd:ee23:17cc:48d:1112:a26a:60706","2404:6800:4007:834::200a:54854","54854","160","graph_edge","1771677206028","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206028","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206028","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206028","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206028","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206028","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206832","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206832","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206832","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206832","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","15","graph_edge","1771677206832","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677206832","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677206832","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677206832","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677206832","1"
