"data","time","diff"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 9 | Bytes: 783 | Duration: 4.60s","1771757694626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.70 | Packets: 2 | Bytes: 132 | Duration: 0.07s","1771757694626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.70 | Packets: 2 | Bytes: 132 | Duration: 0.08s","1771757705126","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 4 | Bytes: 240 | Duration: 4.40s","1771757709626","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 4 | Bytes: 240 | Duration: 4.40s","1771757710280","-1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 4 | Bytes: 240 | Duration: 4.40s","1771757710280","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 7 | Bytes: 466 | Duration: 4.47s","1771757710280","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 2 | Bytes: 132 | Duration: 0.01s","1771757715626","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.70 | Packets: 7 | Bytes: 466 | Duration: 4.35s","1771757720126","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757726126","1"
