2026-02-21 12:24:22,227 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-02-21 12:24:22,228 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     Listening on TCP address 0.0.0.0:8000
127.0.0.1:40810 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40822 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40830 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40842 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40858 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40860 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40870 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40878 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40884 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40900 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40916 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40918 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40922 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40924 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40930 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40942 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40948 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40964 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40972 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40982 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:40990 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:45932 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:45948 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:45960 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:45962 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:45964 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:45968 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:45976 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:45982 - - [21/Feb/2026:12:24:44] "POST /api/update/" 200 34
127.0.0.1:45998 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46010 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46018 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46020 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46026 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46036 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46040 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46042 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46050 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46058 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46068 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46078 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46092 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46100 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46112 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46128 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46140 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46144 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46146 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46162 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46176 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46178 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46190 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
